database,geography
Pravda Digital Archive (1912- ) in Russian,United Kingdom & Europe
Rossiiskaia istoriia  (2000- ) in Russian,United Kingdom & Europe
Voprosy istorii (1945-2019) in Russian,United Kingdom & Europe
Europeana portal [open access] 1680-1989,United Kingdom & Europe
Europeana: Newspapers [open access] 1680-1989,United Kingdom & Europe
[London] Sunday Times Historical Archive 1822-2021,United Kingdom & Europe
[London] Times Digital Archive 1822-2016,United Kingdom & Europe
[London] Times Literary Supplement Historical Archive 1902-2014,United Kingdom & Europe
Brazilian and Portuguese History and Culture 1500-1930,United Kingdom & Europe
British Library Newspapers 18th-20th cent.,United Kingdom & Europe
Eighteenth Century Collections Online,United Kingdom & Europe
"Europe and Africa: Commerce, Christianity, Civilization, and Conquest 18th-20th cent.",United Kingdom & Europe
Financial Times Historical Archive 1888-2021,United Kingdom & Europe
"Illustrated London News Historical Archive, 1842-2003",United Kingdom & Europe
Political Extremism and Radicalism 1776-2017,United Kingdom & Europe
Seventeenth and Eighteenth Century Burney Newspapers Collection 1604-1804,United Kingdom & Europe
Seventeenth and Eighteenth Century Nichols Newspapers Collection 1672-1738,United Kingdom & Europe
English Reports 1207-1916,United Kingdom & Europe
"British Periodicals, 1681-1939",United Kingdom & Europe
"Documents on British Policy Overseas, 1898-1990",United Kingdom & Europe
Early English Books Online (EEBO)  [in Early Modern Books] 1470-1700,United Kingdom & Europe
Early European Books  [in Early Modern Books] 1473-1700,United Kingdom & Europe
Guardian and The Observer [London] 1791-2003,United Kingdom & Europe
"Entertainment Industry Magazine Archive (EIMA), 1880-2015",United Kingdom & Europe
BBC Monitoring: Summary of World Broadcasts 1939-2001,United Kingdom & Europe
Independent Voices 20th-21st cent.,United Kingdom & Europe
Amnesty International Archives 1961-1991,Western & Central Asia
"Confidential Print [UK]: Middle East, 1839-1970",Western & Central Asia
"East India Company [UK], 1599-1947   ",Western & Central Asia
"Foreign Office [UK] Files for India, Pakistan and Afghanistan, 1947-1980",Western & Central Asia
"Foreign Office [UK] Files for the Middle East, 1971-1981",Western & Central Asia
"Middle Eastern and North African Newspapers, 1870-2019",Western & Central Asia
Life  (Magazine Archive) 1883-2020,Western & Central Asia
"Economist Intelligence Unit Country Reports Archive, 1952-1995",Western & Central Asia
ProQuest Dissertations & Theses Global‎  1606-2025,Western & Central Asia
HathiTrust Digital Library 19th-20th cent.,Western & Central Asia
Amnesty International Archives 1961-1991,"East Asia, South Asia & Pacific"
"China, America and The Pacific: Trade & Cultural Exchange [early 18th-early 20th cent]","East Asia, South Asia & Pacific"
"China: Culture and Society, c1750-1929","East Asia, South Asia & Pacific"
"China: Trade, Politics and Culture, 1793-1980","East Asia, South Asia & Pacific"
Conflict in Indochina 1959-1979,"East Asia, South Asia & Pacific"
"East India Company [UK], 1599-1947   ","East Asia, South Asia & Pacific"
"Foreign Office [UK] Files for China, 1919-1980","East Asia, South Asia & Pacific"
"Foreign Office [UK] Files for Japan, 1919-1952 ","East Asia, South Asia & Pacific"
"Foreign Office [UK] Files for South East Asia, 1963-1980","East Asia, South Asia & Pacific"
"Frontier Life: Borderland and Colonial Encounters, 1650-1920","East Asia, South Asia & Pacific"
"India, Raj & Empire, 1615-1947 ","East Asia, South Asia & Pacific"
"Meiji Japan, 1838-1925","East Asia, South Asia & Pacific"
"Socialism on Film, early 20th-1980","East Asia, South Asia & Pacific"
"Late Qing and Republican-Era Chinese Newspapers, 1911-1949","East Asia, South Asia & Pacific"
South Asian Newspapers,"East Asia, South Asia & Pacific"
South Asia Open Archives (SAOA),"East Asia, South Asia & Pacific"
South Asia Commons 17th-21st cent,"East Asia, South Asia & Pacific"
Life  (Magazine Archive) 1883-2020,"East Asia, South Asia & Pacific"
British Library Newspapers 18th-20th cent.,"East Asia, South Asia & Pacific"
Political Extremism and Radicalism 1776-2017,"East Asia, South Asia & Pacific"
Trove: Digitised Australian Historical Newspapers and More [open access] 1803-2023,"East Asia, South Asia & Pacific"
PapersPast (New Zealand) [open access] 1839-1989,"East Asia, South Asia & Pacific"
"Economist Intelligence Unit Country Reports Archive, 1952-1995","East Asia, South Asia & Pacific"
ProQuest Dissertations & Theses Global‎  1606-2025,"East Asia, South Asia & Pacific"
HathiTrust Digital Library 19th-20th cent.,"East Asia, South Asia & Pacific"
Digital Library of the Caribbean  [open access] 1555-2024,"East Asia, South Asia & Pacific"
"Age of Exploration, 1410-1920",World
America in World War II:  Oral Histories and Personal Accounts,World
Amnesty International Archives 1961-1991,World
"Apartheid South Africa, 1948 - 1994",World
